Node ID,Date created,Gender,Age,City
1,1/1/09,F,22,Seattle
2,1/15/09,F,18,Melbourne
3,2/1/09,F,19,Paris
4,3/10/09,F,45,Rio de Janeiro
5,4/1/10,F,23,London
6,4/1/10,F,21,London
7,4/1/10,F,21,London
8,4/1/10,F,21,London
9,5/15/10,F,21,London
10,5/15/10,F,33,Frankfurt
11,5/15/10,F,33,Zagreb
12,5/15/10,F,33,Helsinki
13,5/15/10,F,33,Helsinki
14,5/15/10,F,33,Helsinki
15,5/15/10,F,33,Boston
16,5/15/10,F,33,Boston
17,5/15/10,F,57,Boston
18,6/15/10,F,57,New York
19,6/15/10,M,57,Madrid
20,6/15/10,M,25,Madrid
21,6/15/10,M,25,Portland
22,6/15/10,M,25,Portland
23,1/10/11,M,25,Moscow
24,1/10/11,M,25,Moscow
25,1/10/11,M,25,Moscow
26,1/10/11,M,25,Moscow
27,1/10/11,M,25,Paris
28,1/10/11,M,43,Paris
29,3/15/11,M,43,Paris
30,3/15/11,M,43,Paris
31,3/15/11,M,41,Seattle
32,3/15/11,M,43,Seattle
33,3/15/11,M,20,Frankfurt
34,11/24/11,M,18,Frankfurt
35,11/24/11,O,18,Frankfurt
36,11/24/11,O,18,Frankfurt
37,11/24/11,O,26,Dubrovnik
38,11/24/11,O,32,Dubrovnik
39,1/20/12,O,47,Dubrovnik
40,1/20/12,O,51,Dubrovnik
41,1/20/12,O,67,Dubrovnik
42,1/20/12,O,26,Moscow
43,1/28/09,O,26,Helsinki
44,1/20/12,M,17,Helsinki
45,1/20/12,M,24,Melbourne
46,1/20/12,M,31,Melbourne
47,6/28/12,M,31,Melbourne
48,6/28/12,M,48,Melbourne
49,6/28/12,M,32,Sydney
50,6/28/12,M,32,Sydney
51,6/28/12,M,32,Sydney
52,6/28/12,M,47,Sydney
53,9/25/12,M,47,Budapest
54,9/25/12,F,31,Budapest
55,9/25/12,F,65,Budapest
56,9/25/12,F,42,Budapest
57,9/25/12,F,42,Budapest
58,9/25/12,F,32,Los Angeles
59,9/25/12,F,32,Los Angeles
60,9/25/12,F,32,Los Angeles
61,7/23/13,M,55,Kiev
62,7/23/13,M,55,Kiev
63,7/23/13,M,23,Kiev
64,7/23/13,M,23,New York
65,7/23/13,M,23,New York
66,7/23/13,M,23,New York
67,7/23/13,F,65,Boston
68,7/23/13,F,32,Boston
69,7/23/13,F,55,Boston
70,7/23/13,F,72,Boston
71,2/14/14,F,44,Madrid
72,2/14/14,F,44,Madrid
73,2/14/14,F,23,Hong Kong
74,2/14/14,F,23,San Francisco
75,2/14/14,F,59,San Francisco
76,2/14/14,F,33,San Francisco
77,5/20/15,F,18,San Francisco
78,5/20/15,F,18,San Francisco
79,5/20/15,F,18,San Francisco
80,5/20/15,O,18,Washington
81,5/20/15,O,59,Detroit
82,5/20/15,O,59,Vancouver
83,5/20/15,O,59,Vancouver
84,7/23/16,M,13,Vancouver
85,7/23/16,M,13,Chicago
86,7/23/16,M,13,Washington
87,7/23/16,M,14,Washington
88,7/23/16,M,33,Hong Kong
89,7/23/16,M,33,Hong Kong
90,8/16/17,M,33,Hong Kong
91,8/16/17,M,67,Zagreb
92,8/16/17,F,71,Zagreb
93,8/16/17,F,71,Zagreb
94,8/16/17,F,46,Zagreb
95,10/23/17,F,18,Zagreb
96,10/23/17,F,22,Rio de Janeiro
97,10/23/17,M,22,Rio de Janeiro
98,10/23/17,M,27,Rio de Janeiro
99,10/23/17,M,34,Rio de Janeiro
100,10/23/17,M,46,Rio de Janeiro
